task_id,priority,description,dependencies,current_status,implementation_evidence,ui_evidence,test_evidence,deployment_evidence,hardware_validation_requirement,external_blocker,next_action
WEB-06,P2,Build public hardware/statistics pages,FLEET-23;FLEET-24;WEB-04,NOT STARTED,,,,,None identified,,"Implement and prove: Publish privacy-safe aggregate hardware, storage-layout, lifecycle, and adoption statistics with methodology, sample size, freshness, missing-data semantics, and bounded APIs."
WEB-07,P4,Add disclosed affiliate hardware links,,NOT STARTED,,,,,None identified,,"Implement and prove: Support new/used/alternative hardware links, explicit affiliate disclosure, editorial separation, aggregate-only targeting, click attribution boundaries, and no retailer inference from private telemetry."
WEB-08,P3,Build the community forum/discussion system,,NOT STARTED,,,,,None identified,,"Implement and prove: Provide accounts, categories, threads, replies, quoting, reactions, search, subscriptions, reporting, moderation, spam controls, rate limits, accessibility, and mobile usability."
WEB-09,P3,Define the community taxonomy,,NOT STARTED,,,,,None identified,,"Implement and prove: Include hardware, data hoarding, homelab, Plex/Jellyfin/Emby, ARR applications, downloads, mergerFS, SnapRAID, ZFS, Linux MD, controllers/enclosures, build logs, troubleshooting, deals, and off-topic/community areas."
WEB-10,P3,Add forum governance and safety,,NOT STARTED,,,,,None identified,,"Implement and prove: Publish rules, moderator roles, report/appeal flow, anti-spam/anti-abuse controls, attachment policy, retention/deletion behavior, and privacy policy."
WEB-11,P2,"Build staging, cutover, and rollback",WEB-02;WEB-04;WEB-05,NOT STARTED,,,,,None identified,,"Implement and prove: Validate redirects, SEO metadata, sitemap, robots policy, TLS, caches, database migration, asset integrity, link checks, monitoring, and one-command/atomic rollback before production cutover."
WEB-12,P2,Validate quality and accessibility,,NOT STARTED,,,,,None identified,,"Implement and prove: Test responsive breakpoints, keyboard use, focus, semantic structure, contrast, screen-reader names, performance budgets, browser compatibility, broken links, and error/empty/loading states."
WEB-13,P2,Add website operations,,NOT STARTED,,,,,None identified,,"Implement and prove: Implement health checks, metrics, logs, alerting, database/storage backups, restore drills, uptime monitoring, capacity monitoring, and incident runbooks."
WEB-14,P1,Add end-to-end staging validation,WEB-11;FLEET-11,NOT STARTED,,,,,None identified,,"Implement and prove: Exercise anonymous visitor, telemetry client, outage/retry, account, forum, moderation, profile privacy, leaderboard opt-out, affiliate disclosure, admin, and rollback scenarios."
WEB-15,P2,Production launch gate,WEB-02;WEB-11;WEB-12;WEB-13;WEB-14,NOT STARTED,,,,,None identified,,"Implement and prove: Archive and replace the current site only after an explicitly selected launch task, successful restore drill, staging acceptance, final content approval, and rollback readiness."
EDGE-01,P1,1. Product principle,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §1](specs/hoardarr-com-edge-security.md#1-productprinciple).
EDGE-02,P1,2. hoardarr.com reverse proxy,WEB-04,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §2](specs/hoardarr-com-edge-security.md#2-hoardarrcomreverseproxy).
EDGE-03,P1,3. Telemetry endpoint limits,FLEET-11,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §3](specs/hoardarr-com-edge-security.md#3-telemetryendpointlimits).
EDGE-04,P1,4. CrowdSec on hoardarr.com,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §4](specs/hoardarr-com-edge-security.md#4-crowdseconhoardarrcom).
EDGE-05,P1,5. WAF/AppSec,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §5](specs/hoardarr-com-edge-security.md#5-wafappsec).
EDGE-06,P1,6. Server-side telemetry abuse detection,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §6](specs/hoardarr-com-edge-security.md#6-server-sidetelemetryabusedetection).
EDGE-07,P1,7. NGINX/CrowdSec observability,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §7](specs/hoardarr-com-edge-security.md#7-nginxcrowdsecobservability).
EDGE-08,P4,8. Hoardarr appliance security menu,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §8](specs/hoardarr-com-edge-security.md#8-hoardarrappliancesecuritymenu).
EDGE-09,P4,9. Security Overview,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §9](specs/hoardarr-com-edge-security.md#9-securityoverview).
EDGE-10,P4,10. CrowdSec on local Hoardarr systems,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §10](specs/hoardarr-com-edge-security.md#10-crowdseconlocalhoardarrsystems).
EDGE-11,P4,11. Reverse proxy integration,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §11](specs/hoardarr-com-edge-security.md#11-reverseproxyintegration).
EDGE-12,P4,12. WAF on local Hoardarr,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §12](specs/hoardarr-com-edge-security.md#12-wafonlocalhoardarr).
EDGE-13,P4,13. Suricata,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §13](specs/hoardarr-com-edge-security.md#13-suricata).
EDGE-14,P4,14. Suricata integration data,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §14](specs/hoardarr-com-edge-security.md#14-suricataintegrationdata).
EDGE-15,P4,15. ClamAV,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §15](specs/hoardarr-com-edge-security.md#15-clamav).
EDGE-16,P4,16. ClamAV controls,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §16](specs/hoardarr-com-edge-security.md#16-clamavcontrols).
EDGE-17,P4,17. Download-folder integration,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §17](specs/hoardarr-com-edge-security.md#17-download-folderintegration).
EDGE-18,P4,18. Malware detection handling,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §18](specs/hoardarr-com-edge-security.md#18-malwaredetectionhandling).
EDGE-19,P4,19. Security events,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §19](specs/hoardarr-com-edge-security.md#19-securityevents).
EDGE-20,P4,20. Resource usage,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §20](specs/hoardarr-com-edge-security.md#20-resourceusage).
EDGE-21,P4,21. Installation model,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §21](specs/hoardarr-com-edge-security.md#21-installationmodel).
EDGE-22,P4,22. Fail safely,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §22](specs/hoardarr-com-edge-security.md#22-failsafely).
EDGE-23,P4,23. Updates,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §23](specs/hoardarr-com-edge-security.md#23-updates).
EDGE-24,P1,24. Testing — hoardarr.com,EDGE-02;EDGE-03;EDGE-06,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §24](specs/hoardarr-com-edge-security.md#24-testinghoardarrcom).
EDGE-25,P4,25. Testing — local CrowdSec,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §25](specs/hoardarr-com-edge-security.md#25-testinglocalcrowdsec).
EDGE-26,P4,26. Testing — Suricata,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §26](specs/hoardarr-com-edge-security.md#26-testingsuricata).
EDGE-27,P4,27. Testing — ClamAV,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §27](specs/hoardarr-com-edge-security.md#27-testingclamav).
EDGE-28,P4,28. UI behavior,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §28](specs/hoardarr-com-edge-security.md#28-uibehavior).
EDGE-29,P4,29. Do not over-secure the appliance,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §29](specs/hoardarr-com-edge-security.md#29-donotover-securetheappliance).
EDGE-30,P4,30. Completion criteria,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [EDGE §30](specs/hoardarr-com-edge-security.md#30-completioncriteria).
FLEET-01,P1,1. Telemetry levels,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — required heartbeat, default/opt-out Level 1, explicit Level 2/3, normalized system/drive/health/storage/application inventory and persisted lifecycle/product-event hooks pass client/receiver tests.",,"VERIFIED IN ISOLATION — required heartbeat, default/opt-out Level 1, explicit Level 2/3, normalized system/drive/health/storage/application inventory and persisted lifecycle/product-event hooks pass client/receiver tests.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §1](specs/fleet-telemetry-hardware-lifecycle.md#1-telemetrylevels).
FLEET-02,P1,2. Enhanced diagnostics — explicit opt-in,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — separate off-by-default Level 2 consent and hierarchical enforcement are covered by fleet API/service tests.,,VERIFIED IN ISOLATION — separate off-by-default Level 2 consent and hierarchical enforcement are covered by fleet API/service tests.,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §2](specs/fleet-telemetry-hardware-lifecycle.md#2-enhanceddiagnosticsexplicitopt-in).
FLEET-03,P1,3. Content diagnostics — separate explicit opt-in,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — separate off-by-default Level 3 consent cannot be enabled without Level 2; file contents remain prohibited.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §3](specs/fleet-telemetry-hardware-lifecycle.md#3-contentdiagnosticsseparateexplicitopt-in).
FLEET-04,P1,4. Never transmitted,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — recursive bounded sanitization and secret-key fixtures prove passwords, API keys, tokens, CHAP, SNMP and key material are removed.",,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §4](specs/fleet-telemetry-hardware-lifecycle.md#4-nevertransmitted).
FLEET-05,P1,5. Country/timezone detection during installation,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — host IANA timezone/country suggestion remains unconfirmed until the user reviews it on the real first-run Server page; server validation, persistence and browser flow pass.",See roadmap acceptance evidence,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §5](specs/fleet-telemetry-hardware-lifecycle.md#5-countrytimezonedetectionduringinstallation).
FLEET-06,P1,6. Installation identity,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — persistent random UUID, restart retention and explicit destructive reset are covered by API/service tests.",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — persistent random UUID, restart retention and explicit destructive reset are covered by API/service tests.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §6](specs/fleet-telemetry-hardware-lifecycle.md#6-installationidentity).
FLEET-07,P1,7. Cross-system pseudonymous drive identity,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — versioned strongest-identifier hashing and A/B client ingestion prove the same virtual drive maps centrally without raw serial transmission.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §7](specs/fleet-telemetry-hardware-lifecycle.md#7-cross-systempseudonymousdriveidentity).
FLEET-08,P1,8. Partial serials,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — only an ellipsized terminal fragment is emitted and fixtures prove the full serial is absent.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §8](specs/fleet-telemetry-hardware-lifecycle.md#8-partialserials).
FLEET-09,P1,9. Cross-system lifecycle,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — normalized drive observations preserve one pseudonymous drive across two independent client installations; physical movement validation remains separate.,,,,Matching physical provider/hardware execution,,Implement and prove: Implement and prove every requirement in [FLEET §9](specs/fleet-telemetry-hardware-lifecycle.md#9-cross-systemlifecycle).
FLEET-10,P1,"10. Heartbeats, snapshots, and events",,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — worker-owned heartbeat/inventory cadence and persistent cursor-driven storage lifecycle events are distinct, bounded and browser-independent.",See roadmap acceptance evidence,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §10](specs/fleet-telemetry-hardware-lifecycle.md#10-heartbeatssnapshotsandevents).
FLEET-11,P1,11. hoardarr.com ingestion API,FLEET-01;FLEET-06;FLEET-10,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — versioned registration/batch endpoints and health check ingest two independent real Hoardarr clients in executed tests.,,VERIFIED IN ISOLATION — versioned registration/batch endpoints and health check ingest two independent real Hoardarr clients in executed tests.,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §11](specs/fleet-telemetry-hardware-lifecycle.md#11-hoardarrcomingestionapi).
FLEET-12,P1,12. HTTPS only,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — configuration rejects non-HTTPS endpoints and the client forces certificate verification with no bypass setting.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §12](specs/fleet-telemetry-hardware-lifecycle.md#12-httpsonly).
FLEET-13,P1,13. Installation registration credential,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — unique random per-installation credential is returned once and AES-GCM protected at both boundaries; silent reissue is rejected.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §13](specs/fleet-telemetry-hardware-lifecycle.md#13-installationregistrationcredential).
FLEET-14,P1,14. Authenticated telemetry envelopes,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — canonical HMAC envelope, sequence, UUID batch, digests, size/schema validation and replay rejection pass receiver tests.",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — canonical HMAC envelope, sequence, UUID batch, digests, size/schema validation and replay rejection pass receiver tests.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §14](specs/fleet-telemetry-hardware-lifecycle.md#14-authenticatedtelemetryenvelopes).
FLEET-15,P1,15. Client-controlled limitation,,VERIFIED,VERIFIED — Settings UI and architecture documentation state that authentication is not trusted hardware attestation.,See roadmap acceptance evidence,VERIFIED — Settings UI and architecture documentation state that authentication is not trusted hardware attestation.,,None identified,,None; preserve with regression coverage
FLEET-16,P1,16. Durable offline queue,FLEET-10,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — SQLite queue survives engine/client restart and does not depend on API or browser lifetime.,See roadmap acceptance evidence,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §16](specs/fleet-telemetry-hardware-lifecycle.md#16-durableofflinequeue).
FLEET-17,P1,17. Store-and-forward behavior,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — executed outage→persist→restart→retry→server acknowledgement→local deletion workflow passes.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §17](specs/fleet-telemetry-hardware-lifecycle.md#17-store-and-forwardbehavior).
FLEET-18,P1,18. Queue bounding,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — record, byte and age caps, priority pruning and heartbeat coalescing are covered by deterministic tests.",,"VERIFIED IN ISOLATION — record, byte and age caps, priority pruning and heartbeat coalescing are covered by deterministic tests.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §18](specs/fleet-telemetry-hardware-lifecycle.md#18-queuebounding).
FLEET-19,P1,19. Retry behavior,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — connection failures, 429, 500/503, credential rejection and permanent schema rejection retain or dead-letter records with bounded backoff as appropriate.",,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §19](specs/fleet-telemetry-hardware-lifecycle.md#19-retrybehavior).
FLEET-20,P1,20. Dead-letter behavior,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — permanent rejection becomes bounded inspectable dead-letter state rather than retrying forever.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §20](specs/fleet-telemetry-hardware-lifecycle.md#20-dead-letterbehavior).
FLEET-21,P1,21. Settings → Telemetry & Privacy,FLEET-01;FLEET-16,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — real Settings panel, save/send/clear/reset actions, status and loading/error behavior pass component/API/accessibility tests.",,"VERIFIED IN ISOLATION — real Settings panel, save/send/clear/reset actions, status and loading/error behavior pass component/API/accessibility tests.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §21](specs/fleet-telemetry-hardware-lifecycle.md#21-settingstelemetryprivacy).
FLEET-22,P1,22. View exactly what is sent,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — authenticated pending-payload API and exact JSON viewer/export expose each record and telemetry level.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §22](specs/fleet-telemetry-hardware-lifecycle.md#22-viewexactlywhatissent).
FLEET-23,P1,23. Central data model,FLEET-11;FLEET-14,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — normalized receiver models, projections, dedicated Alembic history, fail-closed stale-schema startup and authenticated aggregate queries pass against disposable PostgreSQL 17 in CI run `32734681191`; the production package extra and rollback-capable systemd installer are versioned in the repository. Live hoardarr.com staging remains part of FLEET-35.",,"VERIFIED IN ISOLATION — normalized receiver models, projections, dedicated Alembic history, fail-closed stale-schema startup and authenticated aggregate queries pass against disposable PostgreSQL 17 in CI run `32734681191`; the production package extra and rollback-capable systemd installer are versioned in the repository. Live hoardarr.com staging remains part of FLEET-35.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §23](specs/fleet-telemetry-hardware-lifecycle.md#23-centraldatamodel).
FLEET-24,P2,24. Aggregate analytics,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — bounded authenticated fleet, geography, version/upgrade, RAM/platform/controller/enclosure, drive/capacity, storage/free-space/redundancy, application-combination and feature distributions pass deterministic receiver tests.",,"VERIFIED IN ISOLATION — bounded authenticated fleet, geography, version/upgrade, RAM/platform/controller/enclosure, drive/capacity, storage/free-space/redundancy, application-combination and feature distributions pass deterministic receiver tests.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §24](specs/fleet-telemetry-hardware-lifecycle.md#24-aggregateanalytics).
FLEET-25,P2,25. Drive lifecycle analytics,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §25](specs/fleet-telemetry-hardware-lifecycle.md#25-drivelifecycleanalytics).
FLEET-26,P2,26. Purchase metadata — optional,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §26](specs/fleet-telemetry-hardware-lifecycle.md#26-purchasemetadataoptional).
FLEET-27,P2,27. Affiliate analytics boundary,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §27](specs/fleet-telemetry-hardware-lifecycle.md#27-affiliateanalyticsboundary).
FLEET-28,P2,28. Internal hoardarr.com admin dashboard,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §28](specs/fleet-telemetry-hardware-lifecycle.md#28-internalhoardarrcomadmindashboard).
FLEET-29,P1,29. Telemetry schema evolution,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — app/schema versions are independent, schema 1 normalizes centrally, unknown versions fail permanently and the compatibility/deprecation policy is documented.",,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §29](specs/fleet-telemetry-hardware-lifecycle.md#29-telemetryschemaevolution).
FLEET-30,P1,30. Central retention,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — bounded hourly cleanup applies shorter opt-in/raw, moderate heartbeat/snapshot and long drive-lifecycle retention; deterministic tests prove per-transaction limits and recent-data preservation.",,"VERIFIED IN ISOLATION — bounded hourly cleanup applies shorter opt-in/raw, moderate heartbeat/snapshot and long drive-lifecycle retention; deterministic tests prove per-transaction limits and recent-data preservation.",,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §30](specs/fleet-telemetry-hardware-lifecycle.md#30-centralretention).
FLEET-31,P1,31. Source IP,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — receiver never projects request IP into analytics or raw telemetry records.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §31](specs/fleet-telemetry-hardware-lifecycle.md#31-sourceip).
FLEET-32,P1,32. End-to-end cross-system drive test,FLEET-07;FLEET-09;FLEET-23,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — two independent client databases submit the same sanitized virtual WWN and central analytics records one cross-system drive.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §32](specs/fleet-telemetry-hardware-lifecycle.md#32-end-to-endcross-systemdrivetest).
FLEET-33,P1,33. Offline queue end-to-end test,FLEET-16;FLEET-17;FLEET-23,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — actual client and receiver execute registration, simulated outage, persistence, restart, reconnect, acknowledgement and deletion.",,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §33](specs/fleet-telemetry-hardware-lifecycle.md#33-offlinequeueend-to-endtest).
FLEET-34,P1,34. Secret filtering tests,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — malicious nested hardware/provider fixture confirms never-transmitted fields and full serial/path values are absent.,,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §34](specs/fleet-telemetry-hardware-lifecycle.md#34-secretfilteringtests).
FLEET-35,P1,35. Completion requirements,,IN PROGRESS,"IN PROGRESS — client, receiver, privacy/first-run UI, event hooks, analytics, retention, versioned central migrations, PostgreSQL packaging and real PostgreSQL 17 CI execution exist; live hoardarr.com staging and persistent A/B store-and-forward demonstration remain.",See roadmap acceptance evidence,,,None identified,,Implement and prove: Implement and prove every requirement in [FLEET §35](specs/fleet-telemetry-hardware-lifecycle.md#35-completionrequirements).
COMM-01,P3,1. Account model,WEB-04;FLEET-23,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §1](specs/community-profiles-leaderboards.md#1-accountmodel).
COMM-02,P3,2. Installation claiming,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §2](specs/community-profiles-leaderboards.md#2-installationclaiming).
COMM-03,P3,3. Leaderboard participation,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §3](specs/community-profiles-leaderboards.md#3-leaderboardparticipation).
COMM-04,P3,4. Public build profile,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §4](specs/community-profiles-leaderboards.md#4-publicbuildprofile).
COMM-05,P3,5. Build privacy levels,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §5](specs/community-profiles-leaderboards.md#5-buildprivacylevels).
COMM-06,P4,6. Leaderboard categories,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §6](specs/community-profiles-leaderboards.md#6-leaderboardcategories).
COMM-07,P4,7. Community-voted categories,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §7](specs/community-profiles-leaderboards.md#7-community-votedcategories).
COMM-08,P4,8. Standardized benchmarks,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §8](specs/community-profiles-leaderboards.md#8-standardizedbenchmarks).
COMM-09,P3,9. Verified versus self-reported stats,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §9](specs/community-profiles-leaderboards.md#9-verifiedversusself-reportedstats).
COMM-10,P4,10. Badges and achievements,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §10](specs/community-profiles-leaderboards.md#10-badgesandachievements).
COMM-11,P4,11. Drive lifecycle badges,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §11](specs/community-profiles-leaderboards.md#11-drivelifecyclebadges).
COMM-12,P4,12. Build score,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §12](specs/community-profiles-leaderboards.md#12-buildscore).
COMM-13,P4,13. Seasons,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §13](specs/community-profiles-leaderboards.md#13-seasons).
COMM-14,P3,14. Build history,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §14](specs/community-profiles-leaderboards.md#14-buildhistory).
